,speed
0,7.94
1,6.56
2,4.98
3,3.1499999
4,1.22
5,0.31
6,0.29999998
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.52
35,0.39999998
36,0.72999996
37,2.0
38,4.0
39,5.48
40,6.75
41,8.019999499999999
42,9.12
43,9.679999
44,10.86
45,11.3
46,11.509999
47,12.03
48,12.24
49,12.3
50,12.639999000000001
51,13.13
52,13.219999
53,13.42
54,13.82
55,13.94
56,14.49
57,15.219999
58,15.03
59,14.67
60,14.41
61,14.54
62,14.36
63,14.45
64,14.57
65,14.589998999999999
66,14.9
67,15.69
68,15.95
69,15.9
70,16.27
71,16.16
72,16.31
73,16.23
74,16.21
75,15.98
76,16.3
77,16.77
78,16.52
79,15.94
80,16.44
81,15.929998999999999
82,15.87
83,15.019999499999999
84,14.29
85,13.66
86,12.61
87,12.139999000000001
88,11.12
89,11.139999000000001
90,8.05
91,7.1499996
92,6.3599997
93,5.19
94,2.87
95,2.76
96,2.85
97,4.42
98,6.12
99,7.08
100,7.58
101,8.33
102,8.32
103,8.19
104,7.3199997
105,5.45
106,3.27
107,1.89
108,3.05
109,5.0499997
110,6.3199997
111,7.5299997
112,8.23
113,9.2
114,10.55
115,10.73
116,10.83
117,10.63
118,10.44
119,9.769999499999999
120,9.19
121,7.6499996
122,7.0
123,6.17
124,5.72
125,6.6099997
126,8.16
127,8.82
128,8.37
129,8.08
130,8.34
131,8.26
132,7.93
133,6.72
134,6.46
135,6.72
136,6.8199997
137,8.04
138,7.41
139,7.19
140,7.56
141,8.23
142,9.09
143,9.49
144,9.99
145,9.96
146,9.75
147,9.32
148,8.559999000000001
149,8.179999
150,5.46
151,3.9099998
152,3.4499998
153,3.05
154,4.13
155,4.2599998
156,3.86
157,3.55
158,3.4199998
159,2.6799998
160,2.11
161,1.28
162,0.52
163,0.19999999
164,0.11
165,0.68
166,0.83
167,0.78999996
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.22
178,0.19999999
179,0.13
