,speed
0,13.809999
1,12.66
2,11.639999000000001
3,10.62
4,9.5
5,8.04
6,7.2799997
7,6.5499997
8,5.68
9,4.92
10,3.9299998
11,2.96
12,2.22
13,1.89
14,0.68
15,0.22
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,2.35
27,3.79
28,5.0099998
29,6.27
30,7.1499996
31,8.08
32,8.309999000000001
33,9.11
34,9.67
35,9.929999
36,10.23
37,10.44
38,10.49
39,10.78
40,11.139999000000001
41,11.389999000000001
42,11.65
43,12.17
44,12.58
45,12.63
46,12.71
47,12.389999000000001
48,11.69
49,11.59
50,11.19
51,11.4
52,11.8
53,11.8
54,11.55
55,11.66
56,11.95
57,11.88
58,11.83
59,11.94
60,12.91
61,13.849998999999999
62,14.5
63,14.839998999999999
64,14.839998999999999
65,15.04
66,14.889999
67,14.599998999999999
68,15.059999
69,15.08
70,14.769999499999999
71,14.7
72,15.519999499999999
73,15.38
74,14.88
75,14.549999
76,14.28
77,14.0
78,13.63
79,13.15
80,12.75
81,12.41
82,12.769999499999999
83,12.179999
84,10.24
85,9.21
86,7.8999996
87,6.5299997
88,5.19
89,4.4
90,4.27
91,4.49
92,3.05
93,3.9399998
94,4.12
95,4.75
96,5.7599998
97,6.8399997
98,7.33
99,7.54
100,7.3999996
101,5.7799997
102,4.37
103,3.1699998
104,2.18
105,2.75
106,5.38
107,6.66
108,7.48
109,8.179999
110,8.86
111,10.059999000000001
112,9.969999000000001
113,9.679999
114,9.38
115,9.13
116,9.12
117,8.99
118,6.6299996
119,5.89
120,6.46
121,6.5899997
122,6.49
123,6.5699997
124,7.58
125,7.77
126,7.7
127,7.3999996
128,7.33
129,7.08
130,6.89
131,6.35
132,6.3199997
133,6.5499997
134,7.0
135,6.5499997
136,6.5499997
137,6.71
138,6.7999997
139,7.45
140,8.34
141,8.88
142,9.25
143,9.41
144,9.389999000000001
145,9.11
146,8.72
147,8.28
148,7.54
149,6.93
150,5.1
151,3.79
152,3.6899998
153,3.54
154,3.53
155,3.62
156,3.77
157,3.61
158,3.55
159,3.31
160,2.09
161,1.88
162,0.48999998
163,0.09999999400000001
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.42
172,0.35
173,0.56
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
