time,v
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.12415038214789496
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.10340796576605903
311,0.41117774115668404
312,0.7978736029730903
313,1.2647814220852323
314,1.7987595664130316
315,2.3858430650499134
316,3.0139695273505316
317,3.6662318971421985
318,4.332900577121311
319,5.003095202975803
320,5.671696133083767
321,6.350693172878689
322,7.022955682542589
323,7.696595191955566
324,8.351285722520617
325,8.98749033610026
326,9.596565034654406
327,10.171686808268229
328,10.72109858194987
329,11.24142222934299
330,10.317065980699327
331,10.797161526150173
332,11.242571936713325
333,11.657791137695312
334,12.035594516330296
335,12.37793074713813
336,12.680724461873373
337,12.937477959526909
338,13.154243893093533
339,13.332013024224175
340,13.461363050672743
341,13.545637130737305
342,13.583925035264757
343,13.592567443847656
344,13.58099619547526
345,13.550747765435112
346,13.49766625298394
347,13.427239523993599
348,13.342469533284506
349,13.238103654649523
350,13.114932378133139
351,12.9588074154324
352,12.773335774739584
353,12.540679507785374
354,12.272316614786783
355,11.968130535549587
356,11.636638641357422
357,11.288549635145399
358,10.918663872612846
359,10.531611972384983
360,9.64490466647678
361,9.639300240410698
362,9.669425752427843
363,9.754055870903862
364,9.84224001566569
365,9.943041271633572
366,10.03841929965549
367,10.13076146443685
368,10.225200653076172
369,10.305177900526258
370,10.317630767822266
371,10.23440678914388
372,9.998789893256294
373,9.61822403801812
374,9.08069822523329
375,8.40160051981608
376,7.581808831956652
377,6.645490328470866
378,5.6483703189426
379,4.617044130961101
380,3.594436115688748
381,2.6288043128119574
382,1.7621564865112305
383,0.9918419520060221
384,0.35071690877278644
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.05206425984700521
397,0.22265116373697916
398,0.4155911339653863
399,0.6104225582546658
400,0.7984781265258789
401,0.9814124637179904
402,1.149481667412652
403,1.3149065441555448
404,1.477919684516059
405,1.6438590155707464
406,1.8148597081502278
407,1.9804090923733182
408,2.1492046780056424
409,2.317055066426595
410,2.472046216328939
411,2.6373169157240124
412,2.78929869333903
413,2.9270505905151367
414,3.0400980843438044
415,3.1420543458726673
416,3.2324822743733725
417,3.3137136035495334
418,3.403935432434082
419,3.504899342854818
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.07708337571885851
437,0.4538016849093967
438,0.8744759029812283
439,1.332244873046875
440,1.8172889285617404
441,2.3354434967041016
442,2.862416903177897
443,3.405220773484972
444,3.9424128002590604
445,4.47092162238227
446,4.9772527482774525
447,5.452072885301378
448,5.901511510213216
449,6.321605046590169
450,6.665038532680935
451,7.25606812371148
452,7.787463400099012
453,8.263167275322807
454,8.672530916002062
455,9.014390309651693
456,9.285233815511068
457,9.47784423828125
458,9.608233769734701
459,9.68672646416558
460,9.712013668484158
461,9.69635009765625
462,9.648433261447483
463,9.586349063449436
464,9.525881873236763
465,9.464097552829319
466,9.398738013373482
467,9.33023346794976
468,9.254146152072483
469,9.158651563856337
470,9.038352966308594
471,8.878974914550781
472,8.679750230577257
473,8.428030543857151
