GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
-,02-2월-2021 19:03:12.311,-,-,-,-,-,-,-0.02154781,3.99113417,9.83298683,0.10076624,
-,02-2월-2021 19:03:13.311,-,-,-,-,-,-,-0.02154781,3.99113417,9.83298683,0.10076624,
-,02-2월-2021 19:03:14.311,-,-,-,-,-,-,-0.02154781,3.99113417,9.83298683,0.10076624,
-,02-2월-2021 19:03:15.311,-,-,-,-,-,-,-0.02154781,3.99113417,9.83298683,0.10076624,
-,02-2월-2021 19:03:16.311,-,-,-,-,-,-,-0.02154781,3.99113417,9.83298683,0.10076624,
-,02-2월-2021 19:03:17.311,-,-,-,-,-,-,-0.02154781,3.99113417,9.83298683,0.10076624,
-,02-2월-2021 19:03:18.311,-,-,-,-,-,-,-0.02154781,3.99113417,9.83298683,0.10076624,
-,02-2월-2021 19:03:19.311,-,-,-,-,-,-,-0.02154781,3.99113417,9.83298683,0.10076624,
-,02-2월-2021 19:03:20.310,-,-,-,-,-,-,-0.02154781,3.99113417,9.83298683,0.10076624,
-,02-2월-2021 19:03:21.311,-,-,-,-,-,-,-0.02154781,3.99113417,9.83298683,0.10076624,
-,02-2월-2021 19:03:22.311,-,-,-,-,-,-,-0.02154781,3.99113417,9.83298683,0.10076624,
-,02-2월-2021 19:03:23.311,-,-,-,-,-,-,-0.02154781,3.99113417,9.83298683,0.10076624,
-,02-2월-2021 19:03:24.311,-,-,-,-,-,-,-0.02154781,3.99113417,9.83298683,0.10076624,
Tue Feb 02 19:03:21 GMT+09:00 2021,02-2월-2021 19:03:25.311,127.03158223070204,37.550580077804625,5.8799996,22.0,95.0,223.8,-0.02154781,3.99113417,9.83298683,0.10076624,
Tue Feb 02 19:03:22 GMT+09:00 2021,02-2월-2021 19:03:26.312,127.03151886351407,37.55048846360296,6.2799997,14.0,85.0,220.3,-0.02154781,3.99113417,9.83298683,0.10076624,
Tue Feb 02 19:03:23 GMT+09:00 2021,02-2월-2021 19:03:27.311,127.03153051435947,37.55043272394687,5.81,11.0,79.0,221.8,4.20062685,-2.11288309,-8.97346783,0.0516991,
