GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
Tue Feb 02 17:00:06 GMT+09:00 2021,02-2월-2021 17:00:09.776,127.04073200002313,37.56607348099351,0.0,2.5,35.0,0.0,-6.24886656,-2.24456406,8.86931992,0.14838988,
Tue Feb 02 17:00:07 GMT+09:00 2021,02-2월-2021 17:00:10.775,127.04073200002313,37.56607348099351,0.0,2.5,35.0,0.0,2.83593202,-3.98873997,8.93396378,0.05739659,
Tue Feb 02 17:00:08 GMT+09:00 2021,02-2월-2021 17:00:11.775,127.04073200002313,37.56607348099351,0.0,2.5,35.0,0.0,3.69425321,-3.43328524,8.81425381,0.05417818,
Tue Feb 02 17:00:09 GMT+09:00 2021,02-2월-2021 17:00:12.775,127.04074935056269,37.56607167888433,0.14999999,2.5,36.0,3.5,3.7325604,-3.44166493,8.83221054,0.05748039,
Tue Feb 02 17:00:10 GMT+09:00 2021,02-2월-2021 17:00:13.775,127.04074918292463,37.56607184652239,0.0,2.5,36.0,0.0,3.69425321,-3.32434916,8.78672028,0.04803294,
Tue Feb 02 17:00:11 GMT+09:00 2021,02-2월-2021 17:00:14.775,127.04074926674366,37.566071804612875,0.0,3.0,36.0,0.0,3.7086184,-3.45363593,8.72566795,0.04759592,
Tue Feb 02 17:00:12 GMT+09:00 2021,02-2월-2021 17:00:15.775,127.0407525356859,37.566070589236915,0.0,3.0,36.0,0.0,3.65474892,-2.56538701,9.18415737,0.05998951,
Tue Feb 02 17:00:13 GMT+09:00 2021,02-2월-2021 17:00:16.776,127.0407525356859,37.566070589236915,0.0,3.0,36.0,0.0,3.7253778,-2.37385106,9.05846214,0.04633552,
Tue Feb 02 17:00:14 GMT+09:00 2021,02-2월-2021 17:00:17.776,127.0407525356859,37.566070589236915,0.0,3.0,36.0,0.0,3.52785611,-3.77086759,8.88967133,0.06697506,
Tue Feb 02 17:00:15 GMT+09:00 2021,02-2월-2021 17:00:18.776,127.04075898975134,37.56606828421354,0.78999996,2.5,37.0,260.7,3.29920983,-3.62601852,8.95551109,0.05972415,
Tue Feb 02 17:00:16 GMT+09:00 2021,02-2월-2021 17:00:19.776,127.04075630754232,37.56606547627598,0.84999996,3.0,37.0,253.6,3.18189406,-3.27526784,9.18056679,0.06421083,
Tue Feb 02 17:00:17 GMT+09:00 2021,02-2월-2021 17:00:20.776,127.04074675217271,37.56605898030102,1.1,3.0,38.0,249.2,2.25294375,-2.86945081,8.81904221,-0.00813085,
Tue Feb 02 17:00:18 GMT+09:00 2021,02-2월-2021 17:00:21.777,127.04073434695601,37.56604502443224,2.23,3.5,38.0,229.4,2.69227982,-3.77326179,8.85854626,0.03816265,
Tue Feb 02 17:00:19 GMT+09:00 2021,02-2월-2021 17:00:22.776,127.04071875661612,37.56602277047932,2.77,4.0,38.0,207.5,3.8714242,-4.31315422,8.61314106,0.07726604,
Tue Feb 02 17:00:20 GMT+09:00 2021,02-2월-2021 17:00:23.776,127.0407144818455,37.565996325574815,2.51,4.0,38.0,186.5,4.32273102,-3.24534035,7.97508574,0.00109226,
Tue Feb 02 17:00:21 GMT+09:00 2021,02-2월-2021 17:00:24.776,127.04071255400777,37.56597411353141,1.8299999,3.5,38.0,184.8,4.30118322,-3.94444728,8.21330929,0.04607219,
Tue Feb 02 17:00:22 GMT+09:00 2021,02-2월-2021 17:00:25.776,127.0406991429627,37.56596195977181,1.81,4.5,38.0,201.1,4.29878902,-3.67270541,8.51976681,0.06132442,
Tue Feb 02 17:00:23 GMT+09:00 2021,02-2월-2021 17:00:26.776,127.0406885817647,37.56595085375011,1.36,4.0,38.0,209.4,3.48356342,-4.67827034,8.45033455,0.06567591,
Tue Feb 02 17:00:24 GMT+09:00 2021,02-2월-2021 17:00:27.776,127.04067952930927,37.56594490259886,1.31,4.5,38.0,234.1,3.50032282,-4.16112232,8.61912632,0.05783814,
Tue Feb 02 17:00:25 GMT+09:00 2021,02-2월-2021 17:00:28.776,127.04068204388022,37.56594703998417,0.14999999,4.5,39.0,239.0,3.88818359,-3.44645333,8.86692619,0.06661266,
Tue Feb 02 17:00:26 GMT+09:00 2021,02-2월-2021 17:00:29.776,127.04068279825151,37.56595127284527,0.08,4.5,40.0,241.9,3.92170238,-3.55778384,8.85375786,0.07061332,
Tue Feb 02 17:00:27 GMT+09:00 2021,02-2월-2021 17:00:30.776,127.04068271443248,37.56595144048333,0.0,4.5,40.0,0.0,4.19224739,-2.91853189,8.71609116,0.04882914,
