,speed
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.74
29,1.1999999
30,2.1499999
31,2.8
32,3.3899998999999994
33,3.3899998999999994
34,2.83
35,2.27
36,1.3299999
37,0.42999998
38,0.29999998
39,0.17999999
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.78
50,0.85999995
51,4.29
52,6.18
53,7.46
54,7.43
55,8.889999000000001
56,9.519999499999999
57,9.33
58,8.51
59,7.8199997
60,7.19
61,6.19
62,5.37
63,4.7799997
64,4.2
65,3.1899998
66,2.02
67,1.8
68,0.7
