,speed
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,2.56
27,2.29
28,2.27
29,2.6299999
30,2.6
31,2.6299999
32,2.05
33,1.8
34,1.66
35,0.90999997
36,0.71999997
37,0.29
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.5
48,2.6299999
49,4.47
50,5.5899997
51,6.5699997
52,7.48
53,7.62
54,8.65
55,8.58
56,8.38
57,7.66
58,7.5299997
59,6.81
60,6.2799997
61,5.25
62,4.33
63,3.31
64,2.76
65,1.09
66,0.24
67,0.28
68,0.16
