time,Soc
0,1
1,1
2,0.999990922
3,0.999981844
4,0.999972766
5,0.999963688
6,0.99995461
7,0.999945531
8,0.999936453
9,0.999927375
10,0.999918297
11,0.999909219
12,0.999900141
13,0.999806378
14,0.999721786
15,0.999664957
16,0.99960905
17,0.999553143
18,0.999497235
19,0.999441328
20,0.999385421
21,0.999329514
22,0.999273607
23,0.999217699
24,0.999161792
25,0.999104951
26,0.999043331
27,0.998949751
28,0.998855939
29,0.998846861
30,0.998837782
31,0.998828704
32,0.998819626
33,0.998810548
34,0.99880147
35,0.998792392
36,0.998783314
37,0.998774236
38,0.998765158
39,0.99875608
40,0.998747002
41,0.998737923
42,0.998728845
43,0.998719767
44,0.998710689
45,0.998701611
46,0.998692533
47,0.998683455
48,0.998589533
49,0.998495663
50,0.998401874
51,0.998308199
52,0.998214673
53,0.998145132
54,0.998088286
55,0.998031456
56,0.997975254
57,0.997919604
58,0.997864438
59,0.997809705
60,0.997754651
61,0.997698923
62,0.997641414
63,0.997581318
64,0.997518757
65,0.997444487
66,0.997367762
67,0.997288614
68,0.997207167
69,0.997123562
70,0.997037936
71,0.996950358
72,0.996860944
73,0.996769969
74,0.99667765
75,0.996584325
76,0.996490378
77,0.996396224
78,0.996302227
79,0.996208747
80,0.996116084
81,0.996024614
82,0.995934657
83,0.995846474
84,0.995760375
85,0.995676568
86,0.995595227
87,0.995516496
88,0.995440441
89,0.995367084
90,0.995296363
91,0.995228139
92,0.995162255
93,0.995098556
94,0.995036807
95,0.994976775
96,0.994918235
97,0.994824392
98,0.994730475
99,0.994721397
100,0.994712319
101,0.994703241
102,0.994694163
103,0.994685085
104,0.994676007
105,0.994666929
106,0.994657851
107,0.994648773
108,0.994639694
109,0.994630616
110,0.994621538
111,0.99461246
112,0.994603382
113,0.994594304
114,0.994500371
115,0.994406497
116,0.994312712
117,0.994219052
118,0.994125553
119,0.99406034
120,0.994003505
121,0.993946808
122,0.993890707
123,0.993835122
124,0.99377999
125,0.993725258
126,0.993670267
127,0.993614679
128,0.993557964
129,0.993500569
130,0.993441624
131,0.993381238
132,0.993319549
133,0.993256641
134,0.993192551
135,0.993127243
136,0.993060701
137,0.992992992
138,0.992924127
139,0.992854196
140,0.992783313
141,0.992711646
142,0.992639359
143,0.992566655
144,0.992493737
145,0.992420828
146,0.992348093
147,0.992275682
148,0.992203765
149,0.992132454
150,0.992061874
151,0.991992146
152,0.991923374
153,0.991855643
154,0.991789006
155,0.991723467
156,0.991659005
157,0.991595624
158,0.991533259
159,0.991471857
160,0.991411333
161,0.991318789
162,0.991229084
163,0.99114184
164,0.991056712
165,0.990973288
166,0.990891121
167,0.990809612
168,0.990728288
169,0.990647024
170,0.990565614
171,0.990484014
172,0.990402415
173,0.990321138
174,0.990240621
175,0.990161349
176,0.990083789
177,0.990008562
178,0.989936245
179,0.989867346
180,0.989802469
181,0.98974206
182,0.989686124
183,0.989631326
184,0.989576172
185,0.989520306
186,0.989463641
187,0.989406795
188,0.989332592
189,0.98923902
190,0.989145305
191,0.989051494
192,0.988957621
193,0.98886378
194,0.98876992
195,0.988676049
196,0.98858217
197,0.988488284
198,0.988394394
199,0.988300506
200,0.988206624
201,0.98811275
202,0.988018891
203,0.98792505
204,0.987831228
205,0.987737427
206,0.987643648
207,0.987549893
208,0.987456163
209,0.987362461
210,0.987268791
211,0.987175158
212,0.987081564
213,0.986988016
214,0.986894517
215,0.986803982
216,0.986724978
217,0.986653619
218,0.98658727
219,0.986524576
220,0.986464747
221,0.986407125
222,0.986350263
223,0.986293413
224,0.986236571
225,0.986142714
226,0.986048807
227,0.985954866
228,0.985945788
229,0.98593671
230,0.985927632
231,0.985918554
232,0.985909476
233,0.985900397
234,0.985891319
235,0.985882241
236,0.985873163
237,0.985864085
238,0.985855007
239,0.985845929
240,0.985836851
241,0.985827773
242,0.985733853
243,0.98563999
244,0.985546209
245,0.985452545
246,0.985359035
247,0.985291884
248,0.985235042
249,0.985178249
250,0.985122043
251,0.985066342
252,0.98501108
253,0.984956203
254,0.984901468
255,0.984846205
256,0.984790367
257,0.984724143
258,0.984655878
259,0.984585677
260,0.984513697
261,0.984440066
262,0.984364877
263,0.984288156
264,0.984209947
265,0.984130373
266,0.984049523
267,0.983967575
268,0.983884733
269,0.98380126
270,0.983717399
271,0.983633426
272,0.983549592
273,0.983466188
274,0.983383437
275,0.983301536
276,0.98322072
277,0.983141165
278,0.983063055
279,0.982986552
280,0.982911815
281,0.982838971
282,0.982768082
283,0.982699139
284,0.982632104
285,0.982566942
286,0.98250353
287,0.982441744
288,0.982381423
289,0.982321622
290,0.98222813
291,0.982134436
292,0.982040597
293,0.981946671
294,0.981937593
295,0.981928515
296,0.981919437
297,0.981910359
298,0.981901281
299,0.981892203
300,0.981883124
301,0.981874046
302,0.981864968
303,0.98185589
304,0.981846812
305,0.981837734
306,0.981828656
307,0.981734714
308,0.981640818
309,0.981546994
310,0.981453267
311,0.981359667
312,0.981271277
313,0.981209919
314,0.981153087
315,0.981096385
316,0.981040218
317,0.98098451
318,0.980929202
319,0.98087425
320,0.980819622
321,0.980764907
322,0.980709986
323,0.980654577
324,0.98059866
325,0.980541153
326,0.980481715
327,0.980420356
328,0.98035709
329,0.980291983
330,0.980225047
331,0.980156348
332,0.980085958
333,0.980014003
334,0.979940609
335,0.97986595
336,0.979790229
337,0.979713666
338,0.979636442
339,0.979558756
340,0.97948081
341,0.97940276
342,0.979324788
343,0.979247071
344,0.979169743
345,0.979092946
346,0.979016796
347,0.978941369
348,0.978866718
349,0.978792922
350,0.978720018
351,0.978648061
352,0.978577076
353,0.978477503
354,0.978380105
355,0.978284665
356,0.978190987
357,0.978098771
358,0.978007677
359,0.977917185
360,0.977826886
361,0.977736747
362,0.977646625
363,0.977556549
364,0.977466765
365,0.977377587
366,0.977289373
367,0.977202506
368,0.97711734
369,0.97703441
370,0.976954175
371,0.976877002
372,0.976803354
373,0.976733625
374,0.976668138
375,0.976607096
376,0.976550588
377,0.97649548
378,0.976440626
379,0.976385219
380,0.976329235
381,0.976272644
382,0.976215815
383,0.976157821
384,0.976086435
385,0.97599268
386,0.975898887
387,0.975805069
388,0.975711229
389,0.975617371
390,0.9755235
391,0.975429623
392,0.975335745
393,0.975241871
394,0.975148005
395,0.975054154
396,0.974960318
397,0.974866497
398,0.974772695
399,0.974678913
400,0.974585154
401,0.974491418
402,0.97439771
403,0.974304034
404,0.974210393
405,0.974116793
406,0.974023236
