,speed
0,0.19
1,0.07
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,1.43
15,1.54
16,2.3899999
17,4.3399997
18,5.22
19,5.06
20,5.87
21,7.29
22,7.89
23,8.47
24,8.33
25,7.75
26,8.769999499999999
27,9.5
28,10.55
29,11.13
30,10.91
31,11.48
32,12.07
33,12.9
34,13.5
35,13.219999
36,13.009999
37,12.55
38,12.269999499999999
39,11.7
40,11.469999000000001
41,11.179999
42,10.969999000000001
43,10.25
44,9.42
45,7.6699996
46,7.04
47,6.93
48,7.43
49,8.54
50,8.75
51,8.82
52,8.83
53,8.55
54,6.72
55,5.65
56,4.8199997
57,4.7999997
58,4.74
59,3.29
60,1.28
61,0.22
62,0.28
63,0.12
64,0.0
65,0.0
