,speed
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,1.0
17,1.91
18,2.62
19,3.6599998
20,4.62
21,6.15
22,6.91
23,6.72
24,6.77
25,7.24
26,6.98
27,7.49
28,7.97
29,8.83
30,9.44
31,9.55
32,9.599999
33,9.559999000000001
34,9.69
35,9.969999000000001
36,10.389999000000001
37,10.88
38,10.84
39,11.349999
40,11.29
41,10.75
42,10.42
43,10.07
44,9.8
45,9.599999
46,8.73
47,8.179999
48,7.91
49,7.5
50,6.54
51,6.2999997
52,5.96
53,5.12
54,4.8399997
55,4.69
56,4.91
57,5.2599998
58,5.0899997
59,4.99
60,5.2
61,5.7
62,4.64
63,3.9499998
64,3.8799998999999996
65,3.75
