,speed
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,1.03
15,2.98
16,4.15
17,5.5299997
18,6.45
19,6.79
20,6.72
21,6.6499996
22,7.27
23,7.6299996
24,8.11
25,8.98
26,8.99
27,8.58
28,8.62
29,8.519999499999999
30,8.47
31,8.29
32,8.269999499999999
33,8.3
34,8.23
35,8.49
36,8.33
37,9.26
38,8.57
39,7.74
40,6.87
41,6.04
42,6.27
43,7.18
44,7.64
45,8.889999000000001
46,8.389999000000001
47,8.42
48,8.12
49,8.41
50,8.55
51,6.44
52,5.2
53,6.06
54,7.259999799999999
55,7.83
56,8.36
57,8.22
58,7.75
59,7.46
60,6.27
61,5.56
62,5.48
63,4.98
64,3.25
65,1.53
