time,Pbatt,q,der(q),Soc
60,0,0,0,1
61,4699.855229,0,88.86245362,1
62,4215.81584,88.86245362,79.59895121,0.99987658
63,3790.385104,168.4614048,71.47870801,0.999766026
64,3464.202738,239.9401128,65.26642514,0.99966675
65,3200.439345,305.206538,60.25151692,0.999576102
66,2948.919531,365.4580549,55.47650507,0.999492419
67,2885.509817,420.93456,54.27378673,0.999415369
68,2869.581038,475.2083467,53.97172793,0.999339988
69,3044.21155,529.1800746,57.2847745,0.999265028
70,3053.471079,586.4648491,57.46053704,0.999185465
71,3151.508384,643.9253862,59.32203764,0.999105659
72,3239.864042,703.2474238,61.00060889,0.999023267
73,3040.237081,764.2480327,57.20933478,0.998938544
74,2830.677371,821.4573675,53.23411073,0.998859087
75,2517.2767,874.6914782,47.29801336,0.998785151
76,3051.877031,921.9894916,57.43027847,0.998719459
77,3727.459168,979.4197701,70.27934055,0.998639695
78,3689.337733,1049.699111,69.55295982,0.998542085
79,349.0605107,1119.25207,6.5186652,0.998445483
80,292.7879661,1125.770736,5.466922838,0.99843643
81,170.6157241,1131.237658,3.184642906,0.998428837
82,-48.89240548,1134.422301,-0.91204759,0.998424413
83,-324.2581455,1133.510254,-6.044139785,0.99842568
84,-482.9821598,1127.466114,-8.99877493,0.998434075
85,-520.1167234,1118.467339,-9.689656862,0.998446573
86,-460.2428226,1108.777682,-8.575643458,0.998460031
87,-412.8780832,1100.202039,-7.694113584,0.998471942
88,-314.271472,1092.507925,-5.858151651,0.998482628
time,Pbatt,q,der(q),Soc
90,0,0,0,1
91,-350.8649638,0,-6.539605081,1
92,-10.65104829,-6.539605081,-0.198707694,1.000009083
93,179.9033464,-6.738312776,3.358088815,1.000009359
94,314.9798913,-3.380223961,5.88165377,1.000004695
95,342.2201415,2.501429809,6.390800001,0.999996526
96,347.1511428,8.89222981,6.482973402,0.99998765
97,349.658057,15.37520321,6.529835206,0.999978646
98,3601.526332,21.90503842,67.8803787,0.999969576
99,350,89.78541712,6.536227204,0.999875298
100,350,96.32164433,6.536227204,0.99986622
101,350,102.8578715,6.536227204,0.999857142
102,350,109.3940987,6.536227204,0.999848064
103,350,115.9303259,6.536227204,0.999838986
104,350,122.4665531,6.536227204,0.999829908
105,350,129.0027803,6.536227204,0.999820829
106,350,135.5390075,6.536227204,0.999811751
107,350,142.0752348,6.536227204,0.999802673
108,350,148.611462,6.536227204,0.999793595
109,350,155.1476892,6.536227204,0.999784517
110,350,161.6839164,6.536227204,0.999775439
111,350,168.2201436,6.536227204,0.999766361
112,350,174.7563708,6.536227204,0.999757283
113,350,181.292598,6.536227204,0.999748205
114,3655.595344,187.8288252,68.91015332,0.999739127
115,4043.943841,256.7389785,76.31598655,0.999643418
116,3869.699627,333.0549651,72.99106704,0.999537424
117,3709.104713,406.0460321,69.92958751,0.999436047
118,3715.721166,475.9756196,70.05566294,0.999338923
time,Pbatt,q,der(q),Soc
120,0,0,0,1
121,4230.755834,0,79.88447899,1
122,4701.831236,79.88447899,88.90032421,0.999889049
123,5254.881002,168.7848032,99.51697823,0.999765577
124,5866.320553,268.3017814,111.2950226,0.999627359
125,6449.056248,379.596804,122.5601525,0.999472782
126,6878.7808,502.1569565,130.8926082,0.99930256
127,7166.643539,633.0495647,136.4864155,0.999120764
128,7372.763173,769.5359802,140.4977639,0.9989312
129,7326.36467,910.0337442,139.5943533,0.998736064
130,7085.710432,1049.628097,134.9127234,0.998542183
131,6970.584238,1184.540821,132.675495,0.998354804
132,6929.707686,1317.216316,131.8815219,0.998170533
133,6995.129246,1449.097838,133.1523436,0.997987364
134,7171.913797,1582.250181,136.588919,0.99780243
135,7401.886569,1718.8391,141.0649463,0.997612723
136,7740.071715,1859.904047,147.6585073,0.9974168
137,8151.928412,2007.562554,155.7068155,0.997211719
138,8493.532904,2163.26937,162.3977056,0.996995459
139,8959.740128,2325.667075,171.5518749,0.996769907
140,9248.9947,2497.21895,177.2447837,0.99653164
141,9635.549097,2674.463734,184.8686658,0.996285467
142,9855.094357,2859.3324,189.2068708,0.996028705
143,9936.853784,3048.53927,190.823956,0.995765918
144,9891.154059,3239.363226,189.9199784,0.995500884
145,9583.414167,3429.283205,183.8393551,0.995237107
146,9206.544664,3613.12256,176.408672,0.994981774
147,8597.693709,3789.531232,164.4406635,0.994736762
148,7754.684538,3953.971896,147.9437181,0.994508372
time,Pbatt,q,der(q),Soc
150,0,0,0,1
151,5525.545399,0,104.7254623,1
152,5471.273784,104.7254623,103.6804259,0.999854548
153,303.29488,208.4058882,5.663273532,0.999710547
154,187.4567258,214.0691617,3.499154449,0.999702682
155,37.80613805,217.5683162,0.705412666,0.999697822
156,-380.2739254,218.2737289,-7.087166083,0.999696842
157,-412.2982272,211.1865628,-7.683320147,0.999706685
158,-556.0299803,203.5032426,-10.35768149,0.999717357
159,-239.191251,193.1455611,-4.459555036,0.999731742
160,-227.4833963,188.6860061,-4.241408208,0.999737936
161,18.28050416,184.4445979,0.341071545,0.999743827
162,253.5137294,184.7856694,4.733077343,0.999743353
163,315.9780571,189.5187468,5.900309073,0.99973678
164,4272.921573,195.4190559,80.69046993,0.999728585
165,4211.15454,276.1095258,79.50987122,0.999616515
166,4091.238752,355.619397,77.21904859,0.999506084
167,2996.542806,432.8384456,56.38008427,0.999398835
168,2711.313768,489.2185299,50.97199482,0.99932053
169,2828.568487,540.1905247,53.1941308,0.999249735
170,2639.916702,593.3846555,49.61965642,0.999175855
171,3162.443124,643.0043119,59.52972822,0.999106938
172,4065.086316,702.5340401,76.71965598,0.999024258
173,4025.631475,779.2536961,75.9663921,0.998917703
174,237.4204802,855.2200882,4.43241886,0.998812194
175,-287.9273982,859.6525071,-5.367479842,0.998806038
176,-907.617161,854.2850272,-16.89057516,0.998813493
177,-1382.605788,837.3944521,-25.69633165,0.998836952
178,-1747.105964,811.6981204,-32.43821015,0.998872641
time,Pbatt,q,der(q),Soc
180,0,0,0,1
181,-2430.877235,0,-45.049286,1
182,-2124.54467,-45.049286,-39.40526993,1.000062568
183,-1845.469429,-84.45455592,-34.25526205,1.000117298
184,-1428.193785,-118.709818,-26.54027418,1.000164875
185,-1021.956065,-145.2500921,-19.01239359,1.000201736
186,-616.6483803,-164.2624857,-11.4849468,1.000228142
187,-168.175452,-175.7474325,-3.136133755,1.000244094
188,148.8933565,-178.8835663,2.779013804,1.000248449
189,301.5260048,-176.1045525,5.630216409,1.00024459
190,344.2477296,-170.4743361,6.428700655,1.00023677
191,348.3991854,-164.0456354,6.506303008,1.000227841
192,349.9971245,-157.5393324,6.536173453,1.000218805
193,350,-151.003159,6.536227204,1.000209727
194,350,-144.4669318,6.536227204,1.000200649
195,350,-137.9307046,6.536227204,1.00019157
196,350,-131.3944774,6.536227204,1.000182492
197,350,-124.8582501,6.536227204,1.000173414
198,350,-118.3220229,6.536227204,1.000164336
199,350,-111.7857957,6.536227204,1.000155258
200,350,-105.2495685,6.536227204,1.00014618
201,350,-98.71334133,6.536227204,1.000137102
202,350,-92.17711413,6.536227204,1.000128024
203,350,-85.64088693,6.536227204,1.000118946
204,350,-79.10465972,6.536227204,1.000109868
205,5119.537598,-72.56843252,96.91564815,1.000100789
206,6652.545287,24.34721564,126.5031659,0.999966184
207,8881.234446,150.8503816,170.0085386,0.999790486
208,11211.33163,320.8589202,216.1391948,0.999554363
time,Pbatt,q,der(q),Soc
210,0,0,0,1
211,3087.10536,0,58.09905527,1
212,2657.354075,58.09905527,49.94988817,0.999919307
213,2078.462094,108.0489434,39.00434336,0.999849932
214,4121.714518,147.0532868,77.80109326,0.999795759
215,345.8704746,224.8543801,6.459034097,0.999687702
216,291.3139157,231.3134142,5.439377058,0.999678731
217,255.9941696,236.7527912,4.779420008,0.999671177
218,289.9182059,241.5322112,5.413295449,0.999664539
219,320.9417319,246.9455067,5.993079626,0.99965702
220,336.5119394,252.9385863,6.284101844,0.999648696
221,347.8542092,259.2226881,6.496115772,0.999639968
222,4119.92,265.7188039,77.7668176,0.999630946
223,4119.92,343.4856215,77.7668176,0.999522937
224,4096.532232,421.2524391,77.32013924,0.999414927
225,3801.75147,498.5725783,71.69539759,0.999307538
226,3722.135478,570.2679759,70.17789122,0.999207961
227,3595.622058,640.4458671,67.76794807,0.999110492
228,3559.919731,708.2138152,67.0881776,0.99901637
229,3576.736021,775.3019928,67.40834136,0.998923192
230,3720.871327,842.7103342,70.15380176,0.998829569
231,3974.372809,912.8641359,74.98803073,0.998732133
232,4152.79399,987.8521667,78.39477454,0.998627983
233,4809.591447,1066.246941,90.96623688,0.998519101
234,5303.173678,1157.213178,100.4456782,0.998392759
235,6044.179039,1257.658856,114.7291272,0.998253252
236,7716.73884,1372.387984,147.2031527,0.998093906
237,8850.150045,1519.591136,169.3976601,0.997889457
238,9831.715913,1688.988796,188.7446306,0.997654182
time,Pbatt,q,der(q),Soc
240,0,0,0,1
241,3793.927874,0,71.5462462,1
242,3719.185792,71.5462462,70.12168275,0.99990063
243,3969.087766,141.6679289,74.88717305,0.999803239
244,4142.853714,216.555102,78.20488328,0.999699229
245,3953.377469,294.7599853,74.58738227,0.999590611
246,4170.847083,369.3473675,78.7396749,0.999487018
247,4516.572391,448.0870424,85.35171096,0.999377657
248,4942.787027,533.4387534,93.52159203,0.999259113
249,5306.422982,626.9603454,100.508174,0.999129222
250,5569.379972,727.4685194,105.5697721,0.998989627
251,5809.568105,833.0382916,110.2000082,0.998843002
