,speed
376.0,6.8100000000000005
377.0,5.840000000000001
378.0,4.870000000000001
379.0,3.9000000000000004
380.0,2.9300000000000006
381.0,1.9600000000000009
382.0,0.9900000000000002
383.0,0.0
384.0,0.0
385.0,0.0
386.0,0.0
387.0,0.0
388.0,0.0
389.0,0.0
390.0,0.0
391.0,0.0
392.0,0.0
393.0,0.0
394.0,0.0
395.0,0.0
396.0,0.0
397.0,0.0
398.0,0.0
399.0,0.0
400.0,0.0
401.0,0.0
402.0,1.04
403.0,2.08
404.0,3.12
405.0,4.16
406.0,4.16
407.0,4.16
408.0,4.16
409.0,4.16
410.0,4.16
411.0,4.16
412.0,4.16
413.0,4.16
414.0,3.33
415.0,2.5
416.0,1.6700000000000004
417.0,0.8400000000000003
418.0,0.0
419.0,0.0
420.0,0.0
421.0,0.0
422.0,0.0
423.0,0.0
424.0,0.0
425.0,0.0
426.0,0.0
427.0,0.0
428.0,0.0
429.0,0.0
430.0,0.0
431.0,0.0
432.0,0.0
433.0,0.0
434.0,0.0
435.0,0.0
436.0,0.0
437.0,0.0
438.0,0.0
439.0,0.0
440.0,0.69
441.0,1.38
442.0,2.07
443.0,2.76
444.0,3.4499999999999997
445.0,4.16
446.0,4.95
447.0,5.74
448.0,6.53
449.0,7.32
450.0,8.11
451.0,8.9
452.0,8.9
453.0,8.9
454.0,8.9
455.0,8.9
456.0,8.9
457.0,8.9
458.0,8.9
459.0,8.9
460.0,8.9
461.0,8.9
462.0,8.9
463.0,8.9
464.0,8.9
465.0,8.9
466.0,8.9
467.0,8.9
468.0,8.9
469.0,8.9
470.0,8.9
471.0,8.9
472.0,8.9
473.0,8.9
474.0,8.9
475.0,8.9
476.0,8.09
477.0,7.28
478.0,6.470000000000001
479.0,5.66
480.0,4.85
481.0,4.04
482.0,3.2300000000000004
483.0,2.42
484.0,1.6099999999999994
485.0,0.7999999999999989
486.0,0.0
487.0,0.0
488.0,0.0
489.0,0.0
490.0,0.0
491.0,0.0
492.0,0.0
493.0,0.0
494.0,0.0
495.0,0.0
496.0,0.0
497.0,0.0
498.0,0.0
499.0,0.0
500.0,0.0
501.0,0.0
502.0,0.0
503.0,0.0
504.0,0.0
505.0,0.0
506.0,0.0
507.0,0.0
508.0,0.69
509.0,1.38
510.0,2.07
511.0,2.76
512.0,3.4499999999999997
513.0,4.16
514.0,4.67
515.0,5.18
516.0,5.69
517.0,6.2
518.0,6.71
519.0,7.220000000000001
520.0,7.73
521.0,8.24
522.0,8.75
523.0,9.26
524.0,9.72
525.0,10.180000000000001
526.0,10.64
527.0,11.100000000000001
528.0,11.56
529.0,12.020000000000001
530.0,12.48
531.0,12.940000000000001
532.0,13.4
533.0,13.88
534.0,13.88
535.0,13.88
536.0,13.88
537.0,13.88
538.0,13.88
539.0,13.88
540.0,13.88
541.0,13.88
542.0,13.88
543.0,13.88
544.0,13.88
545.0,13.88
546.0,13.360000000000001
547.0,12.84
548.0,12.32
549.0,11.8
550.0,11.280000000000001
551.0,10.760000000000002
552.0,10.24
553.0,9.72
554.0,9.72
555.0,9.72
556.0,9.72
557.0,9.72
558.0,9.72
559.0,9.72
560.0,9.72
561.0,9.72
562.0,9.72
563.0,9.72
564.0,9.72
565.0,9.72
566.0,9.72
567.0,9.72
568.0,9.72
569.0,8.75
570.0,7.780000000000001
571.0,6.8100000000000005
572.0,5.840000000000001
573.0,4.870000000000001
574.0,3.9000000000000004
575.0,2.9300000000000006
576.0,1.9600000000000009
577.0,0.9900000000000002
578.0,0.0
579.0,0.0
580.0,0.0
581.0,0.0
582.0,0.0
583.0,0.0
584.0,0.0
585.0,0.0
586.0,0.0
587.0,0.0
588.0,0.0
589.0,0.0
590.0,0.0
591.0,0.0
592.0,0.0
593.0,0.0
594.0,0.0
595.0,0.0
596.0,0.0
597.0,1.04
598.0,2.08
599.0,3.12
600.0,4.16
601.0,4.16
602.0,4.16
603.0,4.16
604.0,4.16
605.0,4.16
606.0,4.16
607.0,4.16
608.0,4.16
609.0,3.33
610.0,2.5
611.0,1.6700000000000004
612.0,0.8400000000000003
613.0,0.0
614.0,0.0
615.0,0.0
616.0,0.0
617.0,0.0
618.0,0.0
619.0,0.0
620.0,0.0
621.0,0.0
622.0,0.0
623.0,0.0
624.0,0.0
625.0,0.0
626.0,0.0
627.0,0.0
628.0,0.0
629.0,0.0
630.0,0.0
631.0,0.0
632.0,0.0
633.0,0.0
634.0,0.0
635.0,0.69
636.0,1.38
637.0,2.07
638.0,2.76
639.0,3.4499999999999997
640.0,4.16
641.0,4.95
642.0,5.74
643.0,6.53
644.0,7.32
645.0,8.11
646.0,8.9
647.0,8.9
648.0,8.9
649.0,8.9
650.0,8.9
651.0,8.9
652.0,8.9
653.0,8.9
654.0,8.9
655.0,8.9
656.0,8.9
657.0,8.9
658.0,8.9
659.0,8.9
660.0,8.9
661.0,8.9
662.0,8.9
663.0,8.9
664.0,8.9
665.0,8.9
666.0,8.9
667.0,8.9
668.0,8.9
669.0,8.9
670.0,8.9
671.0,8.09
672.0,7.28
673.0,6.470000000000001
674.0,5.66
675.0,4.85
676.0,4.04
677.0,3.2300000000000004
678.0,2.42
679.0,1.6099999999999994
680.0,0.7999999999999989
681.0,0.0
682.0,0.0
683.0,0.0
684.0,0.0
685.0,0.0
686.0,0.0
687.0,0.0
688.0,0.0
689.0,0.0
690.0,0.0
691.0,0.0
692.0,0.0
693.0,0.0
694.0,0.0
695.0,0.0
696.0,0.0
697.0,0.0
698.0,0.0
699.0,0.0
700.0,0.0
701.0,0.0
702.0,0.0
703.0,0.69
704.0,1.38
705.0,2.07
706.0,2.76
707.0,3.4499999999999997
708.0,4.16
709.0,4.67
710.0,5.18
711.0,5.69
712.0,6.2
713.0,6.71
714.0,7.220000000000001
715.0,7.73
716.0,8.24
717.0,8.75
718.0,9.26
719.0,9.72
720.0,10.180000000000001
721.0,10.64
722.0,11.100000000000001
723.0,11.56
724.0,12.020000000000001
725.0,12.48
726.0,12.940000000000001
727.0,13.4
728.0,13.88
729.0,13.88
730.0,13.88
731.0,13.88
732.0,13.88
733.0,13.88
734.0,13.88
735.0,13.88
736.0,13.88
737.0,13.88
738.0,13.88
739.0,13.88
740.0,13.88
741.0,13.360000000000001
742.0,12.84
743.0,12.32
744.0,11.8
745.0,11.280000000000001
746.0,10.760000000000002
747.0,10.24
748.0,9.72
749.0,9.72
750.0,9.72
751.0,9.72
752.0,9.72
753.0,9.72
754.0,9.72
755.0,9.72
756.0,9.72
757.0,9.72
758.0,9.72
759.0,9.72
760.0,9.72
761.0,9.72
762.0,9.72
763.0,9.72
764.0,8.75
765.0,7.780000000000001
766.0,6.8100000000000005
767.0,5.840000000000001
768.0,4.870000000000001
769.0,3.9000000000000004
770.0,2.9300000000000006
771.0,1.9600000000000009
772.0,0.9900000000000002
773.0,0.0
774.0,0.0
775.0,0.0
776.0,0.0
777.0,0.0
778.0,0.0
779.0,0.0
780.0,0.0
781.0,0.0
782.0,0.0
783.0,0.0
784.0,0.0
785.0,0.0
786.0,0.0
787.0,0.0
788.0,0.0
789.0,0.0
790.0,0.0
791.0,0.0
792.0,0.0
793.0,0.0
794.0,0.0
795.0,0.0
796.0,0.0
797.0,0.0
798.0,0.0
799.0,0.0
800.0,0.0
801.0,0.69
802.0,1.38
803.0,2.07
804.0,2.76
805.0,3.4499999999999997
806.0,4.16
807.0,4.67
808.0,5.18
809.0,5.69
810.0,6.2
811.0,6.71
812.0,7.220000000000001
813.0,7.73
814.0,8.24
815.0,8.75
816.0,9.26
817.0,9.72
818.0,10.14
819.0,10.56
820.0,10.98
821.0,11.4
822.0,11.82
823.0,12.24
824.0,12.66
825.0,13.08
826.0,13.5
827.0,13.88
828.0,14.280000000000001
829.0,14.680000000000001
830.0,15.080000000000002
831.0,15.48
832.0,15.88
833.0,16.28
834.0,16.68
835.0,17.080000000000002
836.0,17.48
837.0,17.880000000000003
838.0,18.28
839.0,18.68
840.0,19.080000000000002
841.0,19.44
842.0,19.44
843.0,19.44
844.0,19.44
845.0,19.44
846.0,19.44
847.0,19.44
848.0,19.44
849.0,19.44
850.0,19.44
851.0,19.44
852.0,19.44
853.0,19.44
854.0,19.44
855.0,19.44
856.0,19.44
857.0,19.44
858.0,19.44
859.0,19.44
860.0,19.44
861.0,19.44
862.0,19.44
863.0,19.44
864.0,19.44
865.0,19.44
866.0,19.44
867.0,19.44
868.0,19.44
869.0,19.44
870.0,19.44
871.0,19.44
872.0,19.44
873.0,19.44
874.0,19.44
875.0,19.44
876.0,19.44
877.0,19.44
878.0,19.44
879.0,19.44
880.0,19.44
881.0,19.44
882.0,19.44
883.0,19.44
884.0,19.44
885.0,19.44
886.0,19.44
887.0,19.44
888.0,19.44
889.0,19.44
890.0,19.44
891.0,19.44
892.0,18.75
893.0,18.060000000000002
894.0,17.37
895.0,16.68
896.0,15.990000000000002
897.0,15.3
898.0,14.610000000000001
899.0,13.88
900.0,13.88
901.0,13.88
902.0,13.88
903.0,13.88
904.0,13.88
905.0,13.88
906.0,13.88
907.0,13.88
908.0,13.88
909.0,13.88
910.0,13.88
911.0,13.88
912.0,13.88
913.0,13.88
914.0,13.88
915.0,13.88
916.0,13.88
917.0,13.88
918.0,13.88
919.0,13.88
920.0,13.88
921.0,13.88
922.0,13.88
923.0,13.88
924.0,13.88
925.0,13.88
926.0,13.88
927.0,13.88
928.0,13.88
929.0,13.88
930.0,13.88
931.0,13.88
932.0,13.88
933.0,13.88
934.0,13.88
935.0,13.88
936.0,13.88
937.0,13.88
938.0,13.88
939.0,13.88
940.0,13.88
941.0,13.88
942.0,13.88
943.0,13.88
944.0,13.88
945.0,13.88
946.0,13.88
947.0,13.88
948.0,13.88
949.0,13.88
950.0,13.88
951.0,13.88
952.0,13.88
953.0,13.88
954.0,13.88
955.0,13.88
956.0,13.88
957.0,13.88
958.0,13.88
959.0,13.88
960.0,13.88
961.0,13.88
962.0,13.88
963.0,13.88
964.0,13.88
965.0,13.88
966.0,13.88
967.0,13.88
968.0,13.88
969.0,14.31
970.0,14.74
971.0,15.170000000000002
972.0,15.600000000000001
973.0,16.03
974.0,16.46
975.0,16.89
976.0,17.32
977.0,17.75
978.0,18.18
979.0,18.61
980.0,19.04
981.0,19.44
982.0,19.44
983.0,19.44
984.0,19.44
985.0,19.44
986.0,19.44
987.0,19.44
988.0,19.44
989.0,19.44
990.0,19.44
991.0,19.44
992.0,19.44
993.0,19.44
994.0,19.44
995.0,19.44
996.0,19.44
997.0,19.44
998.0,19.44
999.0,19.44
1000.0,19.44
1001.0,19.44
1002.0,19.44
1003.0,19.44
1004.0,19.44
1005.0,19.44
1006.0,19.44
1007.0,19.44
