time,Pbatt,q,der(q),Soc
0,0,0,0,1
1,350,0,6.536227203889666,1
2,10503.56216769535,6.536227203889666,202.0554755462917,0.9999909219066613
3,10648.1899396414,208.5917027501814,204.9282587602511,0.9997102893017359
4,13195.82750838547,413.5199615104325,255.9700128389486,0.9994256667201245
5,12507.7112219751,669.4899743493813,242.1010155970139,0.9990701528134036
6,10888.42144633955,911.5909899463948,209.7058546678218,0.9987339014028522
7,13396.24159231316,1121.296844614217,260.0210678775084,0.9984426432713691
8,12478.28108056421,1381.317912491725,241.5092303612232,0.9980815028993171
9,5319.117367507739,1622.827142852948,100.7523441477206,0.9977460734127043
10,4990.062137725227,1723.579487000668,94.42904657503323,0.9976061396013879
11,13431.73246120014,1818.008533575701,260.7390135584237,0.9974749881478115
12,6720.879379453744,2078.747547134124,127.8283600080704,0.9971128506289804
13,11918.31360285887,2206.575907142194,230.2707169302907,0.9969353112400802
14,7855.434257591743,2436.846624072484,149.9108265860727,0.9966154907998993
15,4724.996864314436,2586.757450658558,89.34433097257352,0.9964072813185297
16,5393.939162690484,2676.10178163113,102.1918768708506,0.9962831919699567
17,3360.687825653265,2778.293658501982,63.29739377087208,0.9961412588076362
18,15117.17524652985,2841.591052272854,295.0281352876964,0.9960533457607322
19,3854.742869697421,3136.619187560552,72.70582014860565,0.9956435844617215
20,6622.169665200981,3209.325007709156,125.9142703938724,0.9955426041559594
21,3737.586856741284,3335.239278103029,70.47234454299178,0.995367723224857
22,6866.933628590493,3405.71162264602,130.6625997845167,0.9952698449685471
23,166.6320271024988,3536.374222430539,3.11025030519022,0.9950883691355131
24,-1511.822885157879,3539.484472735729,-28.0879000767186,0.9950840493434225
25,3731.028210943199,3511.396572659012,70.34735472914736,0.9951230603157514
26,8504.85169725022,3581.743927388159,162.6196433679706,0.9950253556564054
27,3982.349191475159,3744.36357075613,75.14025474897517,0.9947994950406165
28,4483.164046041016,3819.503825505106,84.71218814560325,0.9946951335756873
29,5692.283589622903,3904.21601365071,107.9382252496889,0.9945774777588184
