time,Pbatt,q,der(q),Soc
0,0,0,0,1
1,4491.494284659214,0,84.87163890642751,1
2,7303.229751595039,84.87163890642749,139.1439955907986,0.9998821227237411
3,5842.291726784508,224.0156344972261,110.8313513878388,0.9996888671743094
4,4634.969935064838,334.8469858850648,87.61915802018984,0.9995349347418263
5,4795.3678072802,422.4661439052544,90.69347497201852,0.9994132414667982
6,4607.301168037814,513.1596188772731,87.08912870803761,0.9992872783071149
7,4929.725691990812,600.2487475853103,93.27092184487219,0.9991663211839092
8,4594.365498265567,693.5196694301827,86.84135955408919,0.9990367782369025
9,3867.552344849119,780.3610289842719,72.95011376179082,0.9989161652375218
10,3212.732687999593,853.311142746063,60.48507922519821,0.9988148456350749
11,6413.960572440623,913.7962219712607,121.8805895003015,0.9987308385805954
12,4689.429958959501,1035.676811471562,88.66265848960938,0.9985615599840673
13,6080.907611589333,1124.339469961171,115.4387394035439,0.9984384174028318
14,6930.412051112397,1239.778209364715,131.8952015804471,0.9982780858203267
15,5003.92603478849,1371.673410945161,94.69521463021238,0.998094898040354
16,5737.595860255397,1466.368625575374,108.8118663878709,0.9979633769089231
17,6716.838670118669,1575.180491963245,127.7499839033026,0.9978122493167176
18,8380.639499461678,1702.930475866547,160.184948532707,0.9976348187835187
19,5971.50694123314,1863.115424399255,113.3255288265618,0.9974123396883343
20,3434.642694816431,1976.440953225817,64.70402198706824,0.9972549431205197
21,5350.367557951689,2041.144975212885,101.3535041103596,0.9971650764233154
22,4060.343730798768,2142.498479323247,76.62910233958473,0.9970243076676066
23,4020.529416885965,2219.127581662831,75.86899729267816,0.9969178783588016
24,269.4761985909369,2294.996578955509,5.031319253327638,0.9968125047514507
25,10622.36396577836,2300.027898208834,204.4150775606608,0.9968055168080433
26,12109.45880040552,2504.442975769496,234.1024326930592,0.9965216069780979
27,9848.677067754956,2738.545408462553,189.079980997521,0.9961964647104687
28,10211.07366601519,2927.625389460075,196.2536893801839,0.9959338536257498
29,8995.67543601328,3123.879078840257,172.2585740028594,0.9956612790571663
30,11411.18153081565,3296.137652843115,220.1274293275064,0.9954220310377179
31,7526.769822039802,3516.265082170623,143.4982032992675,0.9951162984969852
32,11866.64246770513,3659.763285469892,229.2357199658832,0.9949169954368474
33,9177.158125427955,3888.999005435774,175.8299928451365,0.9945986124924504
34,4809.920058171057,4064.828998280911,90.97253881949973,0.9943544041690543
35,4739.691580360702,4155.801537100409,89.62601033947112,0.9942280534206938
36,7069.999440977295,4245.42754743988,134.6073225999535,0.9941035728507779
37,6115.572034554207,4380.03487003983,116.1086141181668,0.9939166182360558
38,4795.279150527296,4496.143484157996,90.69177490313314,0.9937553562720028
39,3164.287670871639,4586.83525906113,59.56476417768636,0.9936293954735262
40,4733.894743304925,4646.400023238815,89.51488930145797,0.9935466666343905
41,7575.444823282558,4735.914912540269,144.4470996270111,0.9934223403992497
42,5676.364943201753,4880.362012167283,107.6313623988126,0.9932217194275456
43,9752.495689899211,4987.993374566098,187.1787848879922,0.9930722314242137
44,3741.515866162357,5175.17215945409,70.54722297610988,0.9928122608896471
45,5703.679824561403,5245.719382430201,108.1579276698526,0.9927142786355136
46,334.6217108673104,5353.877310100055,6.248770296811472,0.9925640592915278
47,338.4747021095746,5360.126080396871,6.320789573810998,0.9925553804438934
48,7358.40764921651,5366.446869970681,140.2182248869412,0.9925466015694853
49,3998.460346470266,5506.665094857621,75.44774714294454,0.99235185403492
50,3401.282768152106,5582.112842000564,64.06943865501216,0.9922470654972214
51,-1793.541138264172,5646.182280655579,-33.29612098660709,0.9921580801657561
52,39.89269307128791,5612.886159668973,0.7443493566979669,0.9922043247782375
53,4221.876182311398,5613.630509025674,79.71477127589469,0.9922032909596866
54,-2279.717286157125,5693.345280301568,-42.2654172056823,0.9920925759995812
55,5073.55780321272,5651.079863095887,96.03237960203251,0.9921512779679224
56,4204.435401840863,5747.112242697916,79.38146908419003,0.9920178996629195
57,-5989.316857772181,5826.493711782108,-109.9370813963546,0.9919076476225248
58,173.4785922223554,5716.556630385752,3.238105874245775,0.992060338013353
59,-1894.499636436664,5719.794736259995,-35.16062463136086,0.9920558406440834
60,-362.0622528613062,5684.634111628633,-6.74809623952342,0.9921046748449602
61,4330.409889923245,5677.886015389107,81.78966959597392,0.9921140472008485
62,7460.200768584758,5759.675684985081,142.200925256243,0.9920004504375206
63,3838.328286861941,5901.876610241319,72.39279898547693,0.9918029491524426
64,4435.901202763157,5974.269409226794,83.80766799402863,0.9917024035982961
65,4400.109630285087,6058.077077220818,83.12285259846885,0.9915860040594155
66,-2249.253715853322,6141.19992981929,-41.70410184639559,0.9914705556530287
67,-1692.42024273083,6099.495827972891,-31.42758762351059,0.9915284780167043
68,-7220.758650623801,6068.068240349379,-132.1106862545271,0.9915721274439592
69,-35.93470087718964,5935.957554094852,-0.6703564525187176,0.9917556145082016
70,349.6689674343045,5935.287197642332,6.530039155321901,0.9917565455588301
71,-2331.491363283657,5941.817236797655,-43.21918248887323,0.9917474760600032
72,3259.485689100877,5898.598054308781,61.3734950799917,0.9918075027023489
73,268.1177850843568,5959.971549388769,5.005937693691976,0.9917222617369601
74,-3016.813512065745,5964.977487082464,-55.81879861630568,0.9917153090457188
75,-3147.815356896557,5909.158688466154,-58.2219586775841,0.9917928351549081
76,-2086.096032332661,5850.936729788567,-38.69621005506815,0.9918736989864048
77,-520.3765172140454,5812.240519733499,-9.694489779056767,0.9919274437225923
78,-459.0748983387028,5802.546029954441,-8.553909392007881,0.99194090829173
79,-538.7576887594922,5793.992120562429,-10.03641514417768,0.991952788721441
80,3653.519464544315,5783.955705418251,68.8706110651533,0.9919667281869191
81,7126.979536492586,5852.826316483401,135.7150782890408,0.9918710745604397
82,6778.30583847766,5988.541394772441,128.94244537756,0.9916825813961493
83,6964.610686271175,6117.483840150002,132.5594544395849,0.9915034946664583
84,8082.27978613875,6250.04329458959,154.3443510395778,0.99131938431307
85,5279.761920109446,6404.387645629171,99.99542154379151,0.9911050171588485
86,259.9230441317526,6504.383067172961,4.852825437491902,0.9909661346289265
87,-42.7077685462217,6509.235892610453,-0.7966919925593174,0.9909593945935965
88,151.0437148943663,6508.43920061789,2.819165978897217,0.990960501110253
89,-219.4089010696978,6511.258366596789,-4.090951753352783,0.9909565856019489
90,-2117.880152951206,6507.167414843438,-39.28237524094493,0.9909622674793841
91,2940.56140497739,6467.885039602492,55.31794790789763,0.9910168263338854
92,4107.777712097461,6523.202987510389,77.5349068343271,0.99093999585068
93,5568.485350760066,6600.737894344715,105.5525383888566,0.9908323084800768
94,4092.146543008545,6706.290432733571,77.2363846247722,0.9906857077323145
95,4036.475544509036,6783.526817358346,76.17340762581489,0.9905784349758912
96,4575.68514324534,6859.700224984157,86.48359019073814,0.9904726385764109
97,6593.261632964737,6946.183815174894,125.3539270364245,0.9903525224789238
98,4203.660285467075,7071.537742211316,79.36665700408776,0.9901784198024842
99,2862.744699652869,7150.9043992154,53.84209836006312,0.9900681883344231
100,6225.457164492742,7204.746497575465,118.2330135917273,0.9899934076422564
101,3111.103949435309,7322.97951116719,58.55472378461263,0.989829195123379
102,2949.901176003948,7381.5342349518,55.4951277924165,0.9897478691181224
103,2928.811214438162,7437.029362744219,55.09505475571723,0.9896707925517442
104,-123.9052547577547,7492.124417499939,-2.310868169108289,0.9895942716423611
105,240.4544215998846,7489.813549330833,4.489097716162632,0.9895974811814849
106,315.0560036781927,7494.302647046992,5.883076275557869,0.9895912463235459
107,-729.6320890943193,7500.185723322551,-13.58499389220015,0.9895830753842743
108,272.3528647839017,7486.600729430351,5.08506955677376,0.9896019434313468
109,3304.286607634771,7491.685798987122,62.22504206178155,0.98959488083474
110,5236.277794623001,7553.910841048904,99.15929709373086,0.9895084571652099
111,5719.328331345905,7653.070138142633,108.45963181364,0.9893707359192463
112,345.979346525073,7761.529769956273,6.461069213584778,0.9892200975417275
113,3219.926535087719,7767.990839169855,60.62176344616228,0.9892111238344864
114,-1648.952038100578,7828.612602616016,-30.62405552030759,0.9891269269408112
115,-1164.82447972775,7797.988547095705,-21.66176535636032,0.989169460351256
116,337.3596734077863,7776.326781739348,6.299947539548612,0.9891995461364731
117,2532.729452266629,7782.626729278894,47.59045264421047,0.9891907962093348
118,2989.659117967185,7830.217181923103,56.24946144154683,0.9891246983584402
119,2569.210438824711,7886.466643364651,48.28094848351611,0.989046574106438
120,2865.809746376248,7934.747591848167,53.90021666470648,0.9889795172335443
121,258.5146689993003,7988.647808512873,4.826511767276315,0.9889046558215099
122,2390.799737288771,7993.474320280151,44.90544267809128,0.9888979523329443
123,2885.570122076253,8038.379762958242,54.27493034681856,0.988835583662558
124,-384.2822697429269,8092.654693305061,-7.161789922830849,0.9887602018148541
125,-219.5866299505971,8085.492903382232,-4.09426354475363,0.9887701487453023
126,2250.764062421923,8081.398639837475,42.25840002619589,0.9887758352224479
127,2678.696477246401,8123.657039863669,50.35411894788331,0.9887171430001894
128,2793.549247431622,8174.011158811549,52.5303118798729,0.9886472067238729
129,3366.317637671295,8226.541470691422,63.40445212814666,0.988574247957373
130,2939.684472953441,8289.945922819565,55.30131258094843,0.9884861862183062
131,-108.6086539052998,8345.247235400506,-2.025668418749319,0.9884093788397216
132,-59.09333810175343,8343.221566981751,-1.10230629605212,0.9884121922680809
133,-600.7436811985181,8342.119260685698,-11.1892181413732,0.9884137232490475
