time,Soc
0,1
1,1
2,0.999990922
3,0.999981844
4,0.999972766
5,0.999963688
6,0.99995461
7,0.999945531
8,0.999936453
9,0.999927375
10,0.999918297
11,0.999909219
12,0.999900141
13,0.999692568
14,0.99949311
15,0.999313036
16,0.999257122
17,0.999201208
18,0.999145295
19,0.999089381
20,0.999033467
21,0.998977553
22,0.998921639
23,0.998865725
24,0.998809811
25,0.998839774
26,0.998854817
27,0.99885533
28,0.998848684
29,0.998839606
30,0.998830528
31,0.99882145
32,0.998812372
33,0.998803294
34,0.998794215
35,0.998785137
36,0.998776059
37,0.998766981
38,0.998757903
39,0.998748825
40,0.998739747
41,0.998730669
42,0.998721591
43,0.998712513
44,0.998703435
45,0.998694356
46,0.998685278
47,0.9986762
48,0.998667122
49,0.998658044
50,0.998648966
51,0.998501975
52,0.998354832
53,0.998212317
54,0.998092087
55,0.997954113
56,0.997777893
57,0.99757736
58,0.997354088
59,0.997109429
60,0.996839344
61,0.996542974
62,0.996472669
63,0.996402363
64,0.996332058
65,0.996261753
66,0.996191447
67,0.996121142
68,0.996050837
69,0.995980531
70,0.995910226
71,0.99583992
72,0.995769615
73,0.99569931
74,0.995629004
75,0.995558699
76,0.995488394
77,0.995418088
78,0.995347783
79,0.995277478
80,0.995207172
81,0.995136867
82,0.995066562
83,0.994996256
84,0.994925951
85,0.994855645
86,0.99478534
87,0.994893772
88,0.994989804
89,0.995072505
90,0.99513961
91,0.99519222
92,0.995231477
93,0.9952583
94,0.995270668
95,0.995270252
96,0.995263318
97,0.99525424
98,0.995245162
99,0.995236084
100,0.995227006
101,0.995217928
102,0.995208849
103,0.995199771
104,0.995190693
105,0.995181615
106,0.995172537
107,0.995163459
108,0.995154381
109,0.995145303
110,0.995136225
111,0.995127147
112,0.995118069
113,0.99510899
114,0.995099912
115,0.995090834
116,0.995081756
117,0.995072678
118,0.9950636
119,0.994916609
120,0.994769466
121,0.994626951
122,0.994506721
123,0.994368747
124,0.994236129
125,0.99409378
126,0.993942321
127,0.993782277
128,0.99361409
129,0.993437792
130,0.993249477
131,0.993049168
132,0.992836873
133,0.992612589
134,0.992376298
135,0.992147196
136,0.991907691
137,0.991657278
138,0.991395858
139,0.991123326
140,0.990839572
141,0.990544479
142,0.990237926
143,0.989919733
144,0.98980793
145,0.989696128
146,0.989584325
147,0.989472522
148,0.989360719
149,0.989248916
150,0.989137113
151,0.98902531
152,0.988913507
153,0.988801704
154,0.988689901
155,0.988578098
156,0.988466295
157,0.98855565
158,0.988642385
159,0.988726332
160,0.988807326
161,0.988885211
162,0.988959842
163,0.989031085
164,0.988955266
165,0.988879446
166,0.988803627
167,0.988727808
168,0.988651988
169,0.988576169
170,0.988500349
171,0.98842453
172,0.988348711
173,0.988272891
174,0.988197072
175,0.988121252
176,0.988045433
177,0.987969614
178,0.987893794
179,0.987817975
180,0.98796735
181,0.988098053
182,0.988210208
183,0.988300962
184,0.988371183
185,0.988422379
186,0.988455089
187,0.98846183
188,0.988456801
189,0.988447722
190,0.988438644
191,0.988429566
192,0.988420488
193,0.98841141
194,0.988402332
195,0.988393254
196,0.988384176
197,0.988375098
198,0.98836602
199,0.988356941
200,0.988347863
201,0.988338785
202,0.988329707
203,0.988320629
204,0.988311551
205,0.988302473
206,0.988293395
207,0.988284317
208,0.988076743
209,0.987877285
210,0.987697212
211,0.987641298
212,0.987585384
213,0.98752947
214,0.987473556
215,0.987417642
216,0.987361729
217,0.987305815
218,0.987249901
219,0.987193987
220,0.987223949
221,0.987238993
222,0.987239505
223,0.98723286
224,0.987223782
225,0.987214704
226,0.987205626
227,0.987196547
228,0.987187469
229,0.987178391
230,0.987169313
231,0.987160235
232,0.987151157
233,0.987142079
234,0.987133001
235,0.987123923
236,0.987114845
237,0.987105766
238,0.987096688
239,0.98708761
240,0.987078532
241,0.987069454
242,0.987060376
243,0.987051298
244,0.98704222
245,0.987033142
246,0.98688615
247,0.986739007
248,0.986596493
249,0.986476262
250,0.986338289
251,0.986162069
252,0.985961535
253,0.985738264
254,0.985493605
255,0.985223519
256,0.98492715
257,0.984856844
258,0.984786539
259,0.984716234
260,0.984645928
261,0.984575623
262,0.984505318
263,0.984435012
264,0.984364707
265,0.984294402
266,0.984224096
267,0.984153791
268,0.984083486
269,0.98401318
270,0.983942875
271,0.983872569
272,0.983802264
273,0.983731959
274,0.983661653
275,0.983591348
276,0.983521043
277,0.983450737
278,0.983380432
279,0.983310127
280,0.983239821
281,0.983169516
282,0.983277948
283,0.98337398
284,0.983456681
285,0.983523785
286,0.983576396
287,0.983615653
288,0.983642476
289,0.983654844
290,0.983654428
291,0.983647494
292,0.983638416
293,0.983629338
294,0.983620259
295,0.983611181
296,0.983602103
297,0.983593025
298,0.983583947
299,0.983574869
300,0.983565791
301,0.983556713
302,0.983547635
303,0.983538557
304,0.983529479
305,0.9835204
306,0.983511322
307,0.983502244
308,0.983493166
309,0.983484088
310,0.98347501
311,0.983465932
312,0.983456854
313,0.983447776
314,0.983300784
315,0.983153641
316,0.983011127
317,0.982890896
318,0.982752923
319,0.982620304
320,0.982477955
321,0.982326497
322,0.982166453
323,0.981998266
324,0.981821968
325,0.981633653
326,0.981433343
327,0.981221049
328,0.980996765
329,0.980760474
330,0.980531372
331,0.980291867
332,0.980041454
333,0.979780034
334,0.979507502
335,0.979223747
336,0.978928654
337,0.978622102
338,0.978303909
339,0.978192106
340,0.978080303
341,0.9779685
342,0.977856697
343,0.977744894
344,0.977633092
345,0.977521289
346,0.977409486
347,0.977297683
348,0.97718588
349,0.977074077
350,0.976962274
351,0.976850471
352,0.976939825
353,0.977026561
354,0.977110508
355,0.977191502
356,0.977269386
357,0.977344018
358,0.977415261
359,0.977339441
360,0.977263622
361,0.977187803
362,0.977111983
363,0.977036164
364,0.976960344
365,0.976884525
366,0.976808706
367,0.976732886
368,0.976657067
369,0.976581247
370,0.976505428
371,0.976429609
372,0.976353789
373,0.97627797
374,0.976202151
375,0.976351526
376,0.976482228
377,0.976594384
378,0.976685138
379,0.976755359
380,0.976806555
381,0.976839264
382,0.976846006
383,0.976840976
384,0.976831898
385,0.97682282
386,0.976813742
387,0.976804664
388,0.976795586
389,0.976786508
390,0.97677743
391,0.976768352
392,0.976759273
393,0.976750195
394,0.976741117
395,0.976732039
396,0.976722961
397,0.976713883
398,0.976704805
399,0.976695727
400,0.976686649
401,0.976677571
402,0.976668492
403,0.976460919
404,0.976261461
405,0.976081388
406,0.976025474
