GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
Tue Feb 02 18:23:59 GMT+09:00 2021,02-2월-2021 18:24:02.547,127.04155141487718,37.56133041344583,0.0,4.0,49.0,0.0,1.44490075,7.27119064,6.55652142,0.05142595,
Tue Feb 02 18:24:00 GMT+09:00 2021,02-2월-2021 18:24:03.547,127.0415602158755,37.56133070681244,0.14,4.0,49.0,3.4,2.26371765,7.68059921,6.25964022,0.05504662,
Tue Feb 02 18:24:01 GMT+09:00 2021,02-2월-2021 18:24:04.547,127.04156398773193,37.56133020389825,0.19999999,4.0,49.0,3.3,0.8810662,8.15225697,5.23611927,0.01073825,
Tue Feb 02 18:24:02 GMT+09:00 2021,02-2월-2021 18:24:05.547,127.04157002270222,37.56133527494967,0.7,4.0,48.0,16.0,0.54228669,8.44913769,5.49828434,0.04807264,
Tue Feb 02 18:24:03 GMT+09:00 2021,02-2월-2021 18:24:06.548,127.04157387837768,37.56134684197605,1.24,4.0,48.0,4.6,1.13604867,9.16021538,5.26365232,0.10215312,
Tue Feb 02 18:24:04 GMT+09:00 2021,02-2월-2021 18:24:07.546,127.04157329164445,37.5613715685904,2.73,4.0,48.0,349.2,0.01915361,7.78594398,5.72812748,0.0043273,
GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
Tue Feb 02 18:24:05 GMT+09:00 2021,02-2월-2021 18:24:09.303,127.04158117063344,37.561408071778715,4.22,4.0,48.0,354.7,-0.142455,5.48272181,1.62446582,-0.39791244,
Tue Feb 02 18:24:06 GMT+09:00 2021,02-2월-2021 18:24:10.302,127.0415918994695,37.56147064268589,5.7599998,4.0,49.0,6.5,1.37187755,4.40054274,9.18415737,0.06649953,
Tue Feb 02 18:24:07 GMT+09:00 2021,02-2월-2021 18:24:11.302,127.04159818589687,37.561542643234134,6.87,4.0,50.0,9.0,-0.4369418,3.38300705,9.15662479,0.0150609,
Tue Feb 02 18:24:08 GMT+09:00 2021,02-2월-2021 18:24:12.302,127.04160673543811,37.56162076257169,7.7,4.0,50.0,8.1,1.14801967,2.86226821,9.39484787,0.02695698,
Tue Feb 02 18:24:09 GMT+09:00 2021,02-2월-2021 18:24:13.302,127.04162484034896,37.56170868873596,9.73,4.0,50.0,8.9,0.14844051,3.41532874,9.61631107,0.05935448,
Tue Feb 02 18:24:10 GMT+09:00 2021,02-2월-2021 18:24:14.302,127.04164621420205,37.561805876903236,10.5199995,4.0,50.0,10.6,0.22266077,3.05500126,10.06282997,0.09124309,
Tue Feb 02 18:24:11 GMT+09:00 2021,02-2월-2021 18:24:15.302,127.0416690967977,37.561905244365335,11.01,4.0,50.0,10.0,-0.12689269,2.66235232,9.75876617,0.05021423,
Tue Feb 02 18:24:12 GMT+09:00 2021,02-2월-2021 18:24:16.302,127.0416915602982,37.56201676558703,12.38,4.0,49.0,9.0,0.05865794,1.09415019,9.02733707,-0.05402833,
Tue Feb 02 18:24:13 GMT+09:00 2021,02-2월-2021 18:24:17.302,127.04171570017934,37.5621342798695,12.55,4.0,49.0,10.0,0.08020575,1.25695586,9.31823349,-0.0224914,
Tue Feb 02 18:24:14 GMT+09:00 2021,02-2월-2021 18:24:18.302,127.0417404267937,37.56223926320672,11.74,4.0,49.0,11.7,-0.20111294,1.78248322,9.91079807,0.04568928,
Tue Feb 02 18:24:15 GMT+09:00 2021,02-2월-2021 18:24:19.302,127.04176113009453,37.56234336644411,11.73,4.0,49.0,10.0,-0.04309563,1.45088625,11.43829823,0.19433433,
Tue Feb 02 18:24:16 GMT+09:00 2021,02-2월-2021 18:24:20.301,127.04178116284311,37.56245245691389,12.639999,4.5,49.0,8.0,-0.15083471,0.91219085,9.8198185,0.02442795,
Tue Feb 02 18:24:17 GMT+09:00 2021,02-2월-2021 18:24:21.302,127.04178602434695,37.56257093511522,12.92,5.0,49.0,2.1,0.24301147,0.50397944,10.26873112,0.06731421,
Tue Feb 02 18:24:18 GMT+09:00 2021,02-2월-2021 18:24:22.302,127.04178376123309,37.562695322558284,14.059999,5.0,49.0,358.9,-2.13083959,1.09295309,10.19690514,0.08672112,
Tue Feb 02 18:24:19 GMT+09:00 2021,02-2월-2021 18:24:23.302,127.04178568907082,37.562824110500515,14.19,5.0,49.0,358.5,-11.11508179,-0.5291186,7.92720175,0.41171759,
Tue Feb 02 18:24:20 GMT+09:00 2021,02-2월-2021 18:24:24.302,127.0417882874608,37.562958556227386,14.65,4.5,49.0,359.1,-0.9708488,-3.74333429,10.35971069,0.14621407,
Tue Feb 02 18:24:21 GMT+09:00 2021,02-2월-2021 18:24:25.302,127.04179306514561,37.56309983320534,15.19,4.5,50.0,358.1,0.38426939,1.18273568,11.24077702,0.17183977,
Tue Feb 02 18:24:22 GMT+09:00 2021,02-2월-2021 18:24:26.302,127.04177722334862,37.563238008879125,15.37,5.0,49.0,357.3,2.64200163,-4.27005863,2.06619596,-0.42750347,
Tue Feb 02 18:24:23 GMT+09:00 2021,02-2월-2021 18:24:27.302,127.04177311621606,37.563381590880454,15.2699995,5.0,49.0,359.8,2.77248549,-2.66714072,9.2404213,0.03931397,
Tue Feb 02 18:24:24 GMT+09:00 2021,02-2월-2021 18:24:28.302,127.04177428968251,37.56353254895657,16.1,5.0,48.0,359.9,2.64559293,-4.16591072,9.12909126,0.07685775,
Tue Feb 02 18:24:25 GMT+09:00 2021,02-2월-2021 18:24:29.302,127.04177001491189,37.563683590851724,16.41,4.5,47.0,359.0,2.03267717,-3.81516051,8.92558384,0.02993995,
Tue Feb 02 18:24:26 GMT+09:00 2021,02-2월-2021 18:24:30.302,127.04176716506481,37.563831699080765,16.0,3.5,46.0,0.0,2.7413609,-2.66833782,9.26077175,0.04038924,
