GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
Thu Feb 04 15:24:40 GMT+09:00 2021,04-2월-2021 15:24:46.284,127.01848676428199,37.546404926106334,4.79,13.0,67.0,76.8,1.64481652,8.19056416,7.10958195,0.13722819,
Thu Feb 04 15:24:41 GMT+09:00 2021,04-2월-2021 15:24:47.282,127.01853739097714,37.54643271211535,5.14,10.5,66.0,68.9,0.9756372,8.24682808,5.87177944,0.05575198,
Thu Feb 04 15:24:42 GMT+09:00 2021,04-2월-2021 15:24:48.282,127.01856848783791,37.54643208347261,5.7,10.0,62.0,57.2,0.36511576,7.97508574,6.39251852,0.06154782,
Thu Feb 04 15:24:43 GMT+09:00 2021,04-2월-2021 15:24:49.282,127.01860813423991,37.54645932465792,6.5,9.0,57.0,50.0,6.36498499,-0.93134445,-6.6044054,-0.04119688,
Thu Feb 04 15:24:44 GMT+09:00 2021,04-2월-2021 15:24:50.283,127.01865809038281,37.54649783950299,6.31,8.5,54.0,47.0,3.59130263,-3.62123013,-9.70250225,0.13635617,
Thu Feb 04 15:24:45 GMT+09:00 2021,04-2월-2021 15:24:51.283,127.0187333598733,37.54652466159314,7.6099997,8.5,52.0,54.7,5.30674791,-2.63481903,-7.75122786,0.0135259,
Thu Feb 04 15:24:46 GMT+09:00 2021,04-2월-2021 15:24:52.283,127.01883536763489,37.546558692120016,8.63,8.0,51.0,57.3,8.16901588,-4.45680666,-5.07091904,0.09929043,
Thu Feb 04 15:24:47 GMT+09:00 2021,04-2월-2021 15:24:53.283,127.01893838122487,37.54659787751734,9.099999,8.0,50.0,56.2,8.25999546,-1.82079041,-4.43406153,-0.00749719,
Thu Feb 04 15:24:48 GMT+09:00 2021,04-2월-2021 15:24:54.283,127.01903753913939,37.54665797576308,9.94,7.0,51.0,54.7,8.40963364,-1.60052383,-4.72016859,0.01549983,
Thu Feb 04 15:24:49 GMT+09:00 2021,04-2월-2021 15:24:55.282,127.01912898570299,37.546738777309656,10.44,6.5,52.0,52.5,8.49702168,-1.22583127,-4.59686708,0.01168448,
Thu Feb 04 15:24:50 GMT+09:00 2021,04-2월-2021 15:24:56.282,127.01924071647227,37.546804952435195,11.0,6.0,52.0,52.3,8.65144825,-2.00514388,-4.14436293,0.0180009,
Thu Feb 04 15:24:51 GMT+09:00 2021,04-2월-2021 15:24:57.282,127.01934305950999,37.546874857507646,11.12,6.0,52.0,53.9,8.49343014,-1.9452889,-4.62440062,0.02455145,
Thu Feb 04 15:24:52 GMT+09:00 2021,04-2월-2021 15:24:58.282,127.01945051550865,37.54695016890764,10.92,5.0,52.0,53.3,8.29351425,-1.8579005,-4.62080908,0.00513536,
Thu Feb 04 15:24:53 GMT+09:00 2021,04-2월-2021 15:24:59.282,127.01954967342317,37.547013578005135,10.309999,5.0,52.0,54.0,8.239645,-2.53426242,-4.51905584,0.01117599,
Thu Feb 04 15:24:54 GMT+09:00 2021,04-2월-2021 15:25:00.283,127.01964505948126,37.54707204177976,9.92,4.5,52.0,54.7,8.69813442,-2.16316128,-4.20661259,0.02828962,
Thu Feb 04 15:24:55 GMT+09:00 2021,04-2월-2021 15:25:01.283,127.01973441056907,37.54712530877441,9.179999,4.0,52.0,54.1,8.94354057,-2.28526545,-4.80755711,0.07993609,
Thu Feb 04 15:24:56 GMT+09:00 2021,04-2월-2021 15:25:02.284,127.01983356848359,37.547171828337014,9.349999,4.5,52.0,55.6,8.63708305,-1.41018486,-4.83748436,0.03831226,
Thu Feb 04 15:24:57 GMT+09:00 2021,04-2월-2021 15:25:03.283,127.01993557624519,37.547230711206794,9.28,4.0,53.0,55.7,8.67060184,-1.45328045,-4.67827034,0.03416747,
Thu Feb 04 15:24:58 GMT+09:00 2021,04-2월-2021 15:25:04.283,127.02002685517073,37.54729064181447,9.66,4.0,53.0,53.8,8.83221054,-1.79924262,-5.00507879,0.06996804,
Thu Feb 04 15:24:59 GMT+09:00 2021,04-2월-2021 15:25:05.283,127.02011469751596,37.547344327904284,9.969999,3.5,53.0,54.9,8.22527981,-1.31321967,-4.35864401,-0.022699,
Thu Feb 04 15:25:00 GMT+09:00 2021,04-2월-2021 15:25:06.282,127.02020681463182,37.54739969037473,10.2699995,4.0,52.0,52.8,8.29830265,-0.49919105,-4.6914382,-0.00794077,
Thu Feb 04 15:25:00 GMT+09:00 2021,04-2월-2021 15:25:07.283,127.02020681463182,37.54739969037473,10.2699995,4.0,52.0,52.8,8.53293514,-1.54545724,-5.13316822,0.04623181,
Thu Feb 04 15:25:02 GMT+09:00 2021,04-2월-2021 15:25:08.283,127.02042625285685,37.54754004534334,12.3,5.0,50.0,54.2,8.41801357,-2.22301626,-4.68784714,0.02699286,
Thu Feb 04 15:25:03 GMT+09:00 2021,04-2월-2021 15:25:09.283,127.02054711990058,37.54761305171996,11.98,5.0,49.0,54.9,8.39885998,-1.60291803,-4.88536835,0.02284211,
Thu Feb 04 15:25:04 GMT+09:00 2021,04-2월-2021 15:25:10.283,127.02066731639206,37.547680316492915,12.16,4.5,49.0,55.0,8.62630844,-1.75494981,-4.87100315,0.04456586,
Thu Feb 04 15:25:05 GMT+09:00 2021,04-2월-2021 15:25:11.282,127.02079094946384,37.5477439770475,12.46,4.0,48.0,54.9,8.11035824,-1.61608613,-4.45560932,-0.02343363,
Thu Feb 04 15:25:06 GMT+09:00 2021,04-2월-2021 15:25:12.282,127.02090418897569,37.547814385034144,12.25,4.0,48.0,55.5,9.05127907,-2.19428587,-4.44603252,0.07101411,
Thu Feb 04 15:25:07 GMT+09:00 2021,04-2월-2021 15:25:13.283,127.02102270908654,37.54787565674633,12.21,3.5,47.0,54.8,8.52694893,-1.54306304,-4.9811368,0.03786641,
Thu Feb 04 15:25:08 GMT+09:00 2021,04-2월-2021 15:25:14.283,127.0211404748261,37.54793889820576,11.84,3.5,46.0,55.3,8.86572933,-2.92571449,-3.96838927,0.05308872,
Thu Feb 04 15:25:09 GMT+09:00 2021,04-2월-2021 15:25:15.283,127.02124281786382,37.547990824095905,10.82,3.5,47.0,55.2,8.29710579,-2.61446834,-4.61721802,0.02294081,
Thu Feb 04 15:25:10 GMT+09:00 2021,04-2월-2021 15:25:16.283,127.02133988030255,37.548046479932964,9.559999,3.5,46.0,56.5,8.56405926,-1.81719911,-4.48433971,0.02169031,
Thu Feb 04 15:25:11 GMT+09:00 2021,04-2월-2021 15:25:17.283,127.0214288122952,37.548095849342644,9.26,3.5,47.0,53.6,8.65025043,-1.60291803,-5.08528423,0.0548318,
Thu Feb 04 15:25:12 GMT+09:00 2021,04-2월-2021 15:25:18.283,127.02150600962341,37.54814639221877,9.19,3.5,45.0,53.1,7.70094967,-0.63206923,-5.90170717,0.01011866,
Thu Feb 04 15:25:13 GMT+09:00 2021,04-2월-2021 15:25:19.283,127.02159116975963,37.548193079419434,9.66,3.0,45.0,52.4,7.49863958,-0.60932434,-5.83347225,-0.01056242,
Thu Feb 04 15:25:14 GMT+09:00 2021,04-2월-2021 15:25:20.283,127.02169233933091,37.54823947325349,10.58,3.5,45.0,60.3,7.68419027,-1.73220491,-6.24288082,0.04355794,
Thu Feb 04 15:25:15 GMT+09:00 2021,04-2월-2021 15:25:21.283,127.02180935069919,37.54827425815165,11.42,3.5,45.0,70.8,7.28076744,-1.54665434,-5.85262585,-0.01579827,
Thu Feb 04 15:25:16 GMT+09:00 2021,04-2월-2021 15:25:22.283,127.02193348668516,37.54829491954297,11.67,3.5,45.0,79.4,7.92720175,-0.68234748,-6.38174486,0.05871934,
Thu Feb 04 15:25:17 GMT+09:00 2021,04-2월-2021 15:25:23.282,127.02206432819366,37.54830229561776,12.05,4.0,44.0,83.9,8.18816948,-1.54066885,-6.42723465,0.09165961,
Thu Feb 04 15:25:18 GMT+09:00 2021,04-2월-2021 15:25:24.283,127.0222007855773,37.54830388817936,11.849999,4.0,43.0,87.9,8.63468838,-0.9540894,-5.41209316,0.06234127,
Thu Feb 04 15:25:19 GMT+09:00 2021,04-2월-2021 15:25:25.284,127.02233523130417,37.54829563200474,12.13,3.5,41.0,91.4,8.99860668,-1.03788638,-4.42807627,0.04679388,
Thu Feb 04 15:25:20 GMT+09:00 2021,04-2월-2021 15:25:26.283,127.02247445471585,37.548284945078194,12.7,3.5,40.0,92.4,8.10556984,-1.37187755,-4.46997452,-0.02712548,
Thu Feb 04 15:25:21 GMT+09:00 2021,04-2월-2021 15:25:27.283,127.02262449078262,37.548274425789714,12.679999,3.5,39.0,93.1,8.61792946,-2.07218146,-4.89015675,0.05091196,
Thu Feb 04 15:25:22 GMT+09:00 2021,04-2월-2021 15:25:28.283,127.0227634627372,37.54826474469155,12.29,3.5,38.0,93.4,8.39287376,-1.26054716,-3.77805018,-0.03401339,
Thu Feb 04 15:25:23 GMT+09:00 2021,04-2월-2021 15:25:29.283,127.0229019317776,37.548257829621434,12.0199995,3.5,37.0,93.2,8.82742214,-1.72621942,-4.97515106,0.06679589,
Thu Feb 04 15:25:24 GMT+09:00 2021,04-2월-2021 15:25:30.283,127.02303268946707,37.54825116600841,11.67,3.5,36.0,93.0,8.30069733,-3.14957237,-4.75488472,0.04563218,
Thu Feb 04 15:25:25 GMT+09:00 2021,04-2월-2021 15:25:31.283,127.02315875329077,37.54824165254831,10.9,3.0,36.0,94.6,8.97227097,-4.28801537,-4.21499205,0.11998755,
Thu Feb 04 15:25:26 GMT+09:00 2021,04-2월-2021 15:25:32.283,127.02325816266239,37.5482320971787,7.3799996,3.5,36.0,93.7,8.42160416,-4.32751942,-4.33470201,0.0805164,
Thu Feb 04 15:25:27 GMT+09:00 2021,04-2월-2021 15:25:33.283,127.02331624925137,37.54821944050491,4.54,3.5,37.0,95.8,8.46589756,-3.78283858,-4.5226469,0.07065791,
Thu Feb 04 15:25:28 GMT+09:00 2021,04-2월-2021 15:25:34.283,127.02335329726338,37.548210178501904,2.5,4.0,37.0,97.9,8.4012537,-2.55341601,-4.61602068,0.0302245,
Thu Feb 04 15:25:29 GMT+09:00 2021,04-2월-2021 15:25:35.283,127.02337081544101,37.54820519126952,1.78,4.0,37.0,100.6,8.32823086,-2.18830037,-4.71657753,0.01982099,
Thu Feb 04 15:25:30 GMT+09:00 2021,04-2월-2021 15:25:36.282,127.02337944880128,37.54820108413696,0.48,4.0,37.0,102.8,8.1750021,-0.68354458,-5.46715975,0.02393204,
Thu Feb 04 15:25:31 GMT+09:00 2021,04-2월-2021 15:25:37.283,127.0233821310103,37.5481974799186,0.14999999,3.5,37.0,103.7,6.54574728,-7.62313843,-7.02937603,0.26900941,
Thu Feb 04 15:25:32 GMT+09:00 2021,04-2월-2021 15:25:38.284,127.02338984236121,37.54819869529456,0.22,3.5,38.0,105.1,0.14604631,6.56370401,8.46589756,0.11108023,
Thu Feb 04 15:25:33 GMT+09:00 2021,04-2월-2021 15:25:39.283,127.02339453622699,37.54820225760341,0.0,4.0,38.0,0.0,-0.10295067,7.20175886,8.36653805,0.14435118,
Thu Feb 04 15:25:34 GMT+09:00 2021,04-2월-2021 15:25:40.283,127.02339453622699,37.54820225760341,0.0,3.5,38.0,0.0,-0.34237084,6.55412722,7.5644803,0.03987128,
Thu Feb 04 15:25:35 GMT+09:00 2021,04-2월-2021 15:25:41.283,127.02339453622699,37.54820225760341,0.0,4.0,38.0,0.0,-0.48961425,6.74087477,7.76679039,0.06851417,
Thu Feb 04 15:25:36 GMT+09:00 2021,04-2월-2021 15:25:42.283,127.02339453622699,37.54820225760341,0.0,4.0,38.0,0.0,-0.65601128,6.78516769,8.42639256,0.12384135,
