,speed
0,4.77
1,5.27
2,6.08
3,8.29
4,9.28
5,9.44
6,8.929999
7,7.4199996
8,5.3599997
9,5.22
10,4.02
11,2.4099998
12,1.61
13,1.16
14,0.16
15,0.0
16,0.0
17,0.0
18,1.73
19,3.4199998
20,5.81
21,7.0699997
22,7.95
23,9.34
24,10.3
25,11.29
26,11.66
27,11.23
28,10.96
29,11.28
30,10.74
31,10.059999000000001
32,9.63
33,9.25
34,8.21
35,8.23
36,7.8199997
37,8.88
38,10.019999499999999
39,10.24
40,9.21
41,7.43
42,6.46
43,4.63
44,3.09
45,2.44
46,3.04
47,4.3199997
48,4.74
49,5.21
50,5.43
51,6.21
52,7.259999799999999
53,8.349999
54,9.849999
55,10.87
56,11.519999499999999
57,11.99
58,12.4
59,12.57
60,13.059999000000001
61,13.33
62,13.7
63,13.849998999999999
64,13.48
65,13.519999499999999
66,14.019999499999999
67,14.13
68,14.7
69,14.54
70,14.62
71,14.719999
72,15.03
73,15.679998999999999
74,16.02
75,16.05
76,15.42
77,15.42
78,14.589998999999999
79,12.809999000000001
80,11.54
81,10.24
82,9.13
83,7.72
84,6.1
85,4.3399997
86,2.33
87,0.91999996
88,0.02
