,speed
0,5.38
1,4.46
2,3.6
3,3.26
4,2.9299998
5,1.75
6,0.91999996
7,0.45
8,0.12
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,2.1499999
22,4.27
23,5.49
24,6.58
25,7.8399997
26,8.73
27,9.63
28,10.44
29,11.13
30,11.36
31,12.349999
32,12.38
33,11.69
34,11.639999000000001
35,11.019999499999999
36,10.65
37,10.0
38,9.22
39,8.98
40,9.23
41,10.46
42,9.66
43,8.75
44,7.96
45,6.48
46,5.1
47,4.31
48,3.6799998
49,3.83
50,4.5
51,5.29
52,6.92
53,8.26
54,9.0
55,10.94
56,11.5
57,12.48
58,13.17
59,13.549999
60,14.91
61,15.469999
62,15.769999499999999
63,16.32
64,16.56
65,16.609999
66,16.75
67,16.99
68,17.18
69,17.17
70,17.27
71,17.19
72,17.109999
73,17.23
74,17.0
75,16.27
76,15.91
77,14.33
78,13.46
79,11.62
80,9.559999000000001
81,7.0299997
82,4.66
83,3.1399999
84,2.08
85,0.44
86,0.19999999
87,0.0
88,0.0
