,speed
0,5.8399997
1,5.13
2,4.21
3,4.27
4,4.64
5,6.02
6,7.18
7,8.58
8,8.94
9,9.41
10,9.51
11,8.87
12,8.48
13,8.139999000000001
14,8.29
15,9.16
16,9.74
17,10.23
18,11.01
19,11.08
20,10.91
21,11.28
22,11.78
23,11.4
24,10.4
25,9.66
26,9.019999499999999
27,8.74
28,8.09
29,7.47
30,7.3199997
31,8.67
32,9.36
33,9.099999
34,8.929999
35,8.37
36,7.3199997
37,5.87
38,4.19
39,2.58
40,2.1
41,2.6699998
42,2.8
43,2.82
44,3.9399998
45,5.12
46,6.06
47,7.1499996
48,7.85
49,8.47
50,9.37
51,9.84
52,10.42
53,11.259999
54,11.62
55,11.92
56,11.98
57,11.91
58,11.58
59,11.17
60,11.15
61,11.34
62,11.36
63,11.559999000000001
64,11.969999000000001
65,12.349999
66,12.63
67,13.09
68,13.45
69,13.75
70,14.04
71,13.809999
72,13.389999
73,13.17
74,13.71
75,14.099998999999999
76,14.04
77,13.42
78,12.639999000000001
79,12.07
80,10.389999000000001
81,8.55
82,6.6499996
83,4.91
84,3.1299999
85,1.8199999
86,1.4399998999999999
87,0.96999997
88,0.45999998
